Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
15-DEC-2017,10345.65,10373.1,10319.65,10333.25,262974703,15106.77
14-DEC-2017,10229.3,10276.1,10141.55,10252.1,159103960,9549.23
13-DEC-2017,10236.6,10296.55,10169.85,10192.95,187191964,10070.44
12-DEC-2017,10324.9,10326.1,10230.2,10240.15,180546894,10380.24
11-DEC-2017,10310.5,10329.2,10282.05,10322.25,152034656,8453.76
08-DEC-2017,10198.45,10270.85,10195.25,10265.65,206234019,11468.15
07-DEC-2017,10063.45,10182.65,10061.9,10166.7,171339022,9910.28
06-DEC-2017,10088.8,10104.2,10033.35,10044.1,171208366,9598.82
05-DEC-2017,10118.25,10147.95,10069.1,10118.25,160253042,8749.09
04-DEC-2017,10175.05,10179.2,10095.7,10127.75,153240126,8458.66
01-DEC-2017,10263.7,10272.7,10108.55,10121.8,147765528,8518.58
30-NOV-2017,10332.7,10332.7,10211.25,10226.55,353105240,19005.56
29-NOV-2017,10376.65,10392.95,10345.9,10361.3,157192930,8852.8
28-NOV-2017,10387.9,10409.55,10355.2,10370.25,202050866,9979.25
27-NOV-2017,10361.05,10407.15,10340.2,10399.55,146276512,7551.71
24-NOV-2017,10366.8,10404.5,10362.25,10389.7,133177324,8197.66
23-NOV-2017,10358.45,10374.3,10307.3,10348.75,157651842,8789.42
22-NOV-2017,10350.8,10368.7,10309.55,10342.3,162504058,9136.04
21-NOV-2017,10329.25,10358.7,10315.05,10326.9,191859084,10443.99
20-NOV-2017,10287.2,10309.85,10261.5,10298.75,151751415,8502.63
17-NOV-2017,10324.55,10343.6,10268.05,10283.6,209592893,11023.35
16-NOV-2017,10152.9,10232.25,10139.2,10214.75,188180035,9995.55
15-NOV-2017,10171.95,10175.45,10094,10118.05,213836202,11609.18
14-NOV-2017,10223.4,10248,10175.55,10186.6,314413476,15398.97
13-NOV-2017,10322,10334.15,10216.25,10224.95,216799588,11783.34
10-NOV-2017,10304.35,10344.95,10254.1,10321.75,287962940,14682.6
09-NOV-2017,10358.65,10368.45,10266.95,10308.95,247606613,12697.28
08-NOV-2017,10361.95,10384.25,10285.5,10303.15,282950322,14789.39
07-NOV-2017,10477.15,10485.75,10340.8,10350.15,295830692,16182.46
06-NOV-2017,10431.75,10490.45,10413.75,10451.8,199559409,10231.76
03-NOV-2017,10461.55,10461.7,10403.6,10452.5,206101238,10070.83
02-NOV-2017,10440.5,10453,10412.55,10423.8,207735021,10779.63
01-NOV-2017,10390.35,10451.65,10383.05,10440.5,268270466,14206.21
31-OCT-2017,10364.9,10367.7,10323.95,10335.3,239809700,12830.06
30-OCT-2017,10353.85,10384.5,10344.3,10363.65,244193178,12558.7
27-OCT-2017,10362.3,10366.15,10311.3,10323.05,322411410,15149.9
26-OCT-2017,10291.8,10355.65,10271.85,10343.8,443036008,23135.46
25-OCT-2017,10321.15,10340.55,10240.9,10295.35,612620774,25922.51
24-OCT-2017,10218.55,10237.75,10182.4,10207.7,223914325,11539.73
23-OCT-2017,10176.65,10224.15,10124.5,10184.85,224799211,12144.31
19-OCT-2017,10210.35,10211.95,10123.35,10146.55,31086379,1685.16
18-OCT-2017,10209.4,10236.45,10175.75,10210.85,262111790,13177.83
17-OCT-2017,10227.65,10251.85,10212.6,10234.45,201782377,10422.81
16-OCT-2017,10207.4,10242.95,10175.1,10230.85,209327364,11774.68
13-OCT-2017,10123.7,10191.9,10120.1,10167.45,237230047,12379.8
12-OCT-2017,10011.2,10104.45,9977.1,10096.4,207106672,10579.8
11-OCT-2017,10042.6,10067.25,9955.8,9984.8,195593061,10227.9
10-OCT-2017,10013.7,10034,10002.3,10016.95,153246570,8055.5
09-OCT-2017,9988.2,10015.75,9959.45,9988.75,148395842,7425.19
06-OCT-2017,9908.15,9989.35,9906.6,9979.7,201858899,9986.18
05-OCT-2017,9927,9945.95,9881.85,9888.7,152362417,7823.55
04-OCT-2017,9884.35,9938.3,9850.65,9914.9,160993982,8790.29
03-OCT-2017,9893.3,9895.4,9831.05,9859.5,167833406,9698.55
29-SEP-2017,9814.3,9854,9775.35,9788.6,202350211,11087.11
28-SEP-2017,9736.4,9789.2,9687.55,9768.95,396874518,18962.4
27-SEP-2017,9920.6,9921.05,9714.4,9735.75,206305991,10127.39
